sid,label
1440682,0
1606824,1
1774642,0
1742535,0
1689686,1
1219471,1
1537396,0
1406256,1
1612794,1
1200836,0
1965083,0
1516642,1
1264740,0
1379006,0
1618594,0
1361135,1
1429614,1
1505918,1
1854437,0
1339746,0
1963014,0
1138701,1
1005414,0
1040400,0
1423152,0
1686343,0
1938363,1
1203831,0
1668041,1
1580570,0
1121448,0
1848175,0
1893346,1
1941103,0
1971201,0
1086852,1
1882214,0
1148762,0
1740123,0
1978996,1
1313806,0
1696857,0
1940572,1
1311731,1
1742357,0
1396032,0
1896154,0
1138291,1
1773612,0
1420744,0
1761458,0
1692775,1
1542833,0
1470765,0
1899337,0
1030219,1
1342423,1
1711217,1
1851563,0
1285127,0
1835849,0
1505379,1
1608220,0
1216168,0
1976348,1
1215546,0
1217117,1
1970768,1
1933454,0
1194304,1
1224024,0
1470346,0
1572295,1
1961696,0
1578905,0
1361351,0
1142185,1
1359700,0
1255056,1
1411271,1
1112197,1
1131680,0
1533060,0
1838667,0
1892890,1
1509623,0
1450294,1
1020684,1
1662352,1
1373396,0
1359504,0
1752298,1
1842400,1
1499606,1
1053824,0
1089419,1
1526603,1
1696935,0
1198747,1
1022191,1
1293449,0
1831582,0
1591101,0
1597570,0
1607788,0
1984649,1
1441336,0
1230379,0
1892464,1
1510099,1
1555386,1
1005084,0
1204569,1
1921458,1
1950962,0
1460345,0
1123819,0
1105134,1
1274250,1
1181397,0
1727710,1
1984269,1
1582178,0
1254082,0
1103152,1
1668712,0
1230327,1
1101157,1
1120183,1
1486138,0
1746824,0
1274850,0
1753496,0
1916565,0
1667268,0
1529766,0
1351746,0
1622049,1
1717697,1
1339275,0
1467021,1
1211453,1
1079621,0
1899214,0
1208915,1
1884130,0
1706308,0
1112436,0
1433296,0
1706215,1
1738070,0
1161646,0
1078969,0
1092930,0
1184893,0
1360906,0
1367496,0
1527787,0
1798394,0
1197794,1
1842864,0
1940325,0
1414733,0
1209292,1
1051433,1
1782082,1
1975090,0
1838351,1
1668652,1
1500993,0
1479628,0
1739312,1
1671352,1
1393348,1
1465816,1
1556690,1
1564973,0
1035672,1
1787515,0
1685777,0
1231801,1
1466255,0
1213716,0
1276758,0
1560541,0
1272181,1
1312246,0
1350505,1
1926574,0
1962918,1
1306191,1
1899561,1
1856464,0
1344018,0
1590042,0
1206968,1
1943917,0
1083580,1
1138851,1
1758827,0
1223190,0
1883425,1
1386572,0
1820594,0
1200186,1
1370722,0
1635150,1
1022990,0
1239361,0
1933935,1
1330969,0
1710490,0
1186324,1
1591600,0
1758448,0
1155504,0
1889526,0
1365867,0
1916026,0
1540145,1
1489338,0
1062324,0
1488948,0
1241681,1
1108096,1
1160869,0
1317898,0
1600694,1
1141473,1
1830421,1
1767442,0
1197689,0
1068447,0
1239019,1
1446883,0
1861661,0
1951987,1
1215970,1
1740209,0
1694716,0
1781854,0
1633184,0
1299568,0
1641009,0
1848146,0
1443086,0
1511312,0
1113897,0
1531464,1
1652234,1
1191490,1
1834199,1
1102959,0
1657546,1
1396247,0
1836154,1
1231064,0
1401886,0
1621074,1
1650724,1
1884859,0
1767450,0
1020910,1
1594477,0
1747247,0
1751395,0
1027766,0
1751691,0
1577234,0
1636768,0
1955768,1
1655585,0
1644484,0
1889640,0
1432026,1
1786111,1
1091488,0
1100280,1
1498226,0
1857495,1
1471010,0
1824871,0
1832134,0
1916643,0
1290590,0
1763561,0
1513807,1
1450416,1
1332297,0
1682766,0
1631790,1
1725407,1
1230434,0
1314478,1
1537684,0
1982142,1
1751753,0
1361688,0
1310202,1
1038185,0
1991883,1
1605417,1
1958510,0
1447836,1
1085403,1
1154966,0
1750848,1
1600402,1
1550370,1
1082894,0
1535254,1
1119578,0
1137484,0
1888017,0
1600784,0
1412826,1
1021043,0
1344551,0
1414350,0
1982997,1
1094866,0
1603246,1
1347996,0
1818427,0
1513576,1
1400238,1
1759677,0
1993754,0
1222643,1
1496372,0
1232377,1
1344505,0
1376130,0
1014771,0
1800451,0
1637574,0
1183456,0
1447767,1
1900271,1
1073083,0
1730553,0
1822731,1
1748936,1
1476231,1
1839925,1
1036523,1
1957312,0
1287752,1
1906390,1
1230209,0
1158350,1
1822443,1
1504722,1
1735905,0
1678069,0
1628400,1
1495782,0
1569137,0
1068165,1
1861238,1
1062502,0
1320458,1
1343817,1
1463901,0
1672059,0
1051327,1
1256052,1
1963116,1
1054257,1
1171286,1
1383647,0
1883288,0
1802115,0
1518680,0
1950985,0
1904999,1
1519654,1
1993887,1
1329671,1
1361996,0
1249097,0
1165756,1
1621913,1
1405916,1
1255937,1
1469986,0
1694043,1
1126372,1
1585598,1
1156693,1
1912083,0
1728693,1
1623699,1
1230410,1
1429049,1
1861271,1
1381550,0
1253935,0
1957927,0
1138783,1
1207594,1
1575115,0
1706632,0
1733367,1
1945124,0
1229876,1
1897211,0
1094587,1
1930409,0
1787476,0
1100683,1
1145606,1
1367944,1
1208496,1
1870483,1
1084829,0
1261965,1
1287954,1
1716724,0
1156061,0
1341828,1
1302236,1
1093370,0
1707529,1
1856305,1
1598316,0
1950160,0
1713017,0
1788081,1
1928712,0
1935685,0
1838068,0
1468515,0
1172745,0
1939774,1
1274141,0
1069929,1
1545808,0
1296713,0
1435399,0
1253687,1
1731043,1
1616113,0
1680076,1
1182088,1
1068064,0
1844283,1
1774094,1
1019895,1
1257090,0
1146360,1
1358922,1
1132005,1
1882103,0
1337129,0
1038594,0
1416982,0
1098906,0
1828426,0
1485379,0
1416427,0
1747410,0
1644250,0
1084623,0
1115491,0
1323971,1
1285022,1
1850923,1
1851021,1
1113842,1
1386210,1
1485342,1
1936639,0
1513816,0
1326654,1
1577637,0
1837049,0
1797733,1
1480578,1
1570819,1
1735017,0
1638035,0
1310335,1
1934126,0
1303563,1
1113351,1
1075113,0
1360945,0
1632999,1
1520482,1
1077936,0
1648042,0
1002490,0
1079788,1
1378829,1
1385555,1
1008810,1
1870256,1
1247939,0
1065404,1
1112524,1
1269836,0
1234907,0
1476538,1
1678880,0
1123042,0
1482331,1
1110556,0
1294290,0
1320648,1
1548822,1
1351425,1
1673127,0
1049036,0
1639184,0
1577695,0
1027863,1
1462760,1
1229029,0
1806609,1
1506789,1
1585684,0
1745819,1
1929297,0
1522093,1
1426822,1
1760370,0
1073390,0
1153560,0
1262999,1
1209950,1
1394216,0
1182873,0
1671163,1
1497180,0
1581459,0
1429660,1
1087419,0
1389014,0
1511246,1
1190570,0
1148076,1
1524819,0
1239539,0
1122638,1
1808398,1
1393645,0
1576651,0
1796032,0
1002760,0
1974603,0
1972745,0
1971977,1
1231433,1
1400278,1
1627338,0
1858784,1
1617290,0
1167255,0
1347779,0
1044684,0
1499732,0
1625590,1
1102686,1
1845225,0
1505429,1
1948948,0
1836862,1
1446370,0
1322933,0
1646142,0
1234469,0
1449981,0
1597990,0
1493628,0
1623030,1
1376756,0
1117336,0
1581464,1
1914210,0
1228069,0
1666141,0
1386805,1
1625211,1
1612791,0
1383239,0
1866861,1
1540309,1
1380464,1
1866491,0
1952900,1
1615037,1
1327847,1
1238389,1
1899427,0
1870461,1
1375050,0
1378504,1
1417310,1
1483652,0
1665089,0
1350998,0
1689702,0
1674275,1
1816718,1
1010298,0
1135920,0
1569450,1
1480552,1
1531637,1
1197044,0
1365163,0
1178146,0
1993828,1
1539274,0
1110780,1
1982202,1
1014764,0
1666155,1
1522574,0
1747915,0
1903607,0
1057674,0
1017109,0
1680033,0
1368667,0
1402781,1
1427632,0
1720276,1
