,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,62085031,000001.XSHE,13.9148,,1.2994,2.4763,2.7943,1940591.875,3753.1045,1940575.25,3753.0725,2021-01-01,13.3112
1,62083452,000002.XSHE,8.234,,1.6451,0.865,4.6903,1161773.25,3334.2891,971431.5,2788.0083,2021-01-01,8.5776
2,62083558,000004.XSHE,48.4751,,2.3569,23.2341,31.4974,16505.2617,34.1659,8391.8682,17.3712,2021-01-01,1102.3503
3,62083192,000005.XSHE,26.1115,,1.6504,13.3094,-9379.1064,105853.6875,26.781,105794.625,26.766,2021-01-01,15.3307
4,62084251,000006.XSHE,8.8088,,1.0805,2.2464,-5.7974,134999.5,75.7347,134830.7969,75.6401,2021-01-01,9.4531
5,62083147,000007.XSHE,-173.4806,,14.7392,54.1966,253.1725,34644.8047,24.1474,30894.8047,21.5337,2021-01-01,108.3451
6,62083320,000008.XSHE,159.7115,,0.9827,2.7030000000000003,22.7996,278079.5312,70.6322,266518.2188,67.6956,2021-01-01,16.2605
7,62085405,000009.XSHE,31.223000000000003,,2.8707,1.9037,18.4151,257921.3906,194.2148,255189.7969,192.1579,2021-01-01,64.494
8,62084241,000010.XSHE,111.1775,,6.7258,2.0231,-45.4333,81985.4688,32.0563,52217.1484,20.4169,2021-01-01,68.9757
9,62084976,000011.XSHE,8.7213,,2.3185,1.7122,56.1766,59597.9102,72.5307,52647.5547,64.0721,2021-01-01,8.8689
10,62085254,000012.XSHE,31.5211,,2.2295,2.2047,301.262,307069.2188,226.6171,195705.9375,144.431,2021-01-01,42.2454
11,62083631,000014.XSHE,36.194,,1.85,2.8913,9.0431,20170.5195,16.7012,20170.5195,16.7012,2021-01-01,79.2082
12,62084328,000016.XSHE,-345.7781,,1.8684,0.3415,-13.3885,240794.5469,159.1652,159657.4375,105.5336,2021-01-01,75.0658
13,62083393,000017.XSHE,-613.7707,,107.3076,13.8343,126.4258,55134.793,13.2875,30298.1016,7.3018,2021-01-01,-184.8847
14,62085834,000019.XSHE,25.0873,,1.9206,0.7505,-57.9602,115253.5234,86.4401,41618.4844,31.2139,2021-01-01,23.7798
15,62084967,000020.XSHE,407.93199999999996,,8.4597,4.2005,-586.7014,28316.123,28.2878,18116.5391,18.0984,2021-01-01,518.087
16,62083858,000021.XSHE,53.4391,,3.8656,2.0401,-127.2944,147125.9375,279.6864,146902.4375,279.2615,2021-01-01,79.3884
17,62083911,000023.XSHE,-313.8971,,4.8260000000000005,1.4079,-21.9064,13875.624,22.6173,13875.624,22.6173,2021-01-01,44.5007
18,62084727,000025.XSHE,37.3074,,5.6363,16.5809,2875.5901,43105.832,72.8489,39277.832,66.3795,2021-01-01,33.1629
19,62083575,000026.XSHE,19.4197,,1.7812,1.2518,28.7518,42809.1875,48.9309,35671.6367,40.7727,2021-01-01,22.6627
20,62085733,000027.XSHE,7.4601,,1.0601,1.4680000000000002,33.6736,475739.0,289.725,475739.0,289.725,2021-01-01,17.0305
21,62085040,000028.XSHE,14.9742,,1.4467,0.3533,-22.6114,42812.6992,196.0822,36773.3633,168.422,2021-01-01,15.4239
22,62084320,000029.XSHE,23.1682,,1.9523,3.8774,8.3881,101166.0,72.2325,89166.0,63.6645,2021-01-01,13.0749
23,62083380,000030.XSHE,13.7274,,1.8813,1.1741,192.8972,181055.2188,132.8945,175988.0938,129.1753,2021-01-01,14.9153
24,62084513,000031.XSHE,23.9246,,0.9769,0.6447,1.5945,428631.3438,188.5978,181372.2969,79.8038,2021-01-01,7.9294
25,62084527,000032.XSHE,58.4828,,4.8766,5.2831,256.3345,41321.9648,73.9663,41142.4102,73.6449,2021-01-01,55.2186
26,62082746,000034.XSHE,24.198,,3.1579,0.1617,11.1879,65945.8438,141.5198,49733.6641,106.7284,2021-01-01,20.1764
27,62085162,000035.XSHE,12.6679,,0.9165,0.47700000000000004,24.0198,252377.7344,103.7272,245334.5312,100.8325,2021-01-01,14.548
28,62084547,000036.XSHE,7.9688,,1.2087,1.7169,-10.5852,148393.4062,59.0606,147947.4375,58.8831,2021-01-01,7.2239
29,62086423,000037.XSHE,45.5488,,3.1065,5.4411,-89.4004,60276.2578,65.8217,33889.4023,37.0072,2021-01-01,264.3339
30,62085956,000038.XSHE,23.3839,,1.7605,3.1195,-14.0324,52277.7422,50.1866,23817.7969,22.8651,2021-01-01,41.0089
31,62085103,000039.XSHE,33.6081,,1.5342,0.6141,7.784,359501.3438,538.8925,153427.1406,229.9873,2021-01-01,34.9425
32,62085496,000040.XSHE,-4.2189,,0.3928,1.7764,-0.9779,148687.3906,51.8919,106034.0703,37.0059,2021-01-01,-5.4217
33,62085744,000042.XSHE,-148.7642,,0.7847,0.6664,-14.1587,66483.1172,60.7656,66234.1484,60.538000000000004,2021-01-01,7.7195
34,62082700,000045.XSHE,128.9543,,1.3216,1.8289,93.5131,50777.2266,36.4073,45701.7891,32.7682,2021-01-01,184.9971
35,62083297,000046.XSHE,-8.4783,,0.8333,1.2703,7.1671,519620.0625,170.4354,517007.875,169.5786,2021-01-01,15.567
36,62084989,000048.XSHE,9.5319,,4.4957,2.1013,10.4625,40249.1719,92.1706,40240.7656,92.1514,2021-01-01,8.3728
37,62084616,000049.XSHE,26.3485,,5.544,0.7502,69.8233,20719.7734,140.0657,20524.373,138.7448,2021-01-01,27.8915
38,62085261,000050.XSHE,35.3012,,1.0867,1.2262,-197.9589,245774.7656,362.272,182891.7812,269.5825,2021-01-01,43.6806
39,62083128,000055.XSHE,11.9419,,0.9348,1.6321,10.8357,108827.8984,48.6461,67827.25,30.3188,2021-01-01,13.988
40,62084107,000056.XSHE,-93.4152,,0.6765,5.0374,-64.6236,117452.875,35.5882,90372.875,27.383000000000003,2021-01-01,70.331
41,62085057,000058.XSHE,134.9997,,4.2567,5.6938,-572.43,123565.625,83.0361,53828.2109,36.1726,2021-01-01,105.8496
